Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"42789.5760","enterovirus D68 EV-D68_2400112229_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EV-D68_2400112229_FRA24",,,,,,,,,,,,,,,,,,,,,"2024-07-01T00:00:00Z",,,,,,,"PP947796",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7219,41.692093,1,7219,,,,1,,,,,,"nasopharyngeal swab",,"2024-03-01",2024,,,,,,,,,"Homo sapiens","Human","Male","5 years",,"Human",,,,,,"2024-08-31T14:03:13.331Z","2024-08-31T14:03:13.331Z"
"42789.5763","enterovirus D68 EV-D68_2400173741_FRA24",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","EV-D68_2400173741_FRA24",,,,,,,,,,,,,,,,,,,,,"2024-07-01T00:00:00Z",,,,,,,"PP947797",,,"Illumina",,"SPAdes v. 3.15.3",,,1,7064,41.68084,1,7064,,,,1,,,,,,"mouth swab",,"2024-03-31",2024,,,,,,,,,"Homo sapiens","Human","Male","8 months",,"Human",,,,,,"2024-08-31T14:03:14.560Z","2024-08-31T14:03:14.560Z"
"42789.6471","enterovirus D68 SH2024-21182",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","SH2024-21182",,,,,,,,,,,,,,,,,,,,,"2024-12-21T00:00:00Z",,,,,,,"PQ766584",,,"Sanger dideoxy sequencing",,,,,1,7391,41.185226,1,7391,,,,1,,,,,,"bronchoalveolar lavage fluid",,"2024-09",2024,,,,,,,,,"Homo sapiens","Human",,,,"Human",,,,,,"2024-12-27T03:01:16.519Z","2024-12-27T03:01:16.519Z"
"42789.6877","enterovirus D68 SH2024-25870",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Complete","SH2024-25870",,,,,,,,,,,,,,,,,,,,,"2025-01-27T00:00:00Z",,,,,,,"PQ895337",,,"Sanger dideoxy sequencing",,,,,1,7391,41.131104,1,7391,,,,1,,,,,,"bronchoalveolar lavage fluid",,"2024-11",2024,,"China",,,,"Asia","China: Shanghai",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-01-31T01:32:18.787Z","2025-01-31T01:32:18.787Z"
"42789.6878","enterovirus D68 SH2024-22990",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","SH2024-22990",,,,,,,,,,,,,,,,,,,,,"2025-02-02T00:00:00Z",,,,,,,"PV018745",,,,,,,,1,7419,41.17566,1,7419,,,,1,,,,,,"bronchoalveolar lavage fluid",,"2024-10",2024,,"China",,,,"Asia","China:Shanghai",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-02-06T01:00:27.782Z","2025-02-06T01:00:27.782Z"
"42789.6891","enterovirus D68 Enterovirus D68/human/USA/MA-Broad_MGH-21791/2024",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","Enterovirus D68/human/USA/MA-Broad_MGH-21791/2024",,,,,,,,,,,,,,,,,,,,,"2025-03-04T00:00:00Z",,,"PRJNA1052714","SAMN46122198",,,"PV178657",,,"Illumina","93x","viral-ngs/assemble_denovo v. 2.4.1.0",,,1,7279,41.324356,1,7279,,,,1,,,,,,"clinical",,"2024-10-26",2024,,"USA","Massachusetts",,,"North America","USA: Massachusetts",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-03-07T05:05:46.801Z","2025-03-07T05:05:46.801Z"
"42789.6892","enterovirus D68 Enterovirus D68/human/USA/MA-Broad_MGH-21811/2024",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","Enterovirus D68/human/USA/MA-Broad_MGH-21811/2024",,,,,,,,,,,,,,,,,,,,,"2025-03-04T00:00:00Z",,,"PRJNA1052714","SAMN46122218",,,"PV178525",,,"Illumina","207x","viral-ngs/assemble_denovo v. 2.4.1.0",,,1,7279,41.296883,1,7279,,,,1,,,,,,"clinical",,"2024-10-29",2024,,"USA","Massachusetts",,,"North America","USA: Massachusetts",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-03-07T05:05:54.999Z","2025-03-07T05:05:54.999Z"
"42789.6893","enterovirus D68 Enterovirus D68/human/USA/MA-Broad_BWH-22756/2024",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","Enterovirus D68/human/USA/MA-Broad_BWH-22756/2024",,,,,,,,,,,,,,,,,,,,,"2025-03-04T00:00:00Z",,,"PRJNA1052714","SAMN46722027",,,"PV178361",,,"Illumina","5945x","viral-ngs/assemble_denovo v. 2.4.1.0",,,1,7335,41.37696,1,7335,,,,1,,,,,,"clinical",,"2024-10-10",2024,,"USA","Massachusetts",,,"North America","USA: Massachusetts",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-03-07T05:06:04.157Z","2025-03-07T05:06:04.157Z"
"42789.6894","enterovirus D68 Enterovirus D68/human/USA/MA-Broad_MGH-21748/2024",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","Enterovirus D68/human/USA/MA-Broad_MGH-21748/2024",,,,,,,,,,,,,,,,,,,,,"2025-03-04T00:00:00Z",,,"PRJNA1052714","SAMN46122155",,,"PV178309",,,"Illumina","1776x","viral-ngs/assemble_denovo v. 2.4.1.0",,,1,7318,41.31237,1,7318,,,,1,,,,,,"clinical",,"2024-10-13",2024,,"USA","Massachusetts",,,"North America","USA: Massachusetts",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-03-07T05:06:06.691Z","2025-03-07T05:06:06.691Z"
"42789.6895","enterovirus D68 Enterovirus D68/human/USA/MA-Broad_MGH-22585/2024",,42789,"10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138951;42789","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus D;enterovirus D68","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","Partial","Enterovirus D68/human/USA/MA-Broad_MGH-22585/2024",,,,,,,,,,,,,,,,,,,,,"2025-03-04T00:00:00Z",,,"PRJNA1052714","SAMN46281855",,,"PV178235",,,"Illumina","59x","viral-ngs/assemble_denovo v. 2.4.1.0",,,1,7259,41.741287,1,7259,,,,1,,,,,,"clinical",,"2024-11-23",2024,,"USA","Massachusetts",,,"North America","USA: Massachusetts",,"Homo sapiens","Human",,,,"Human",,,,,,"2025-03-07T05:06:09.962Z","2025-03-07T05:06:09.962Z"
